,timestamp,attention,meditation,theta,delta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,CVNN,SDNN,RMSSD,SDNN_over_RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num
0,2023-09-19_14:15:24.781061,0,0,35848,40370,32549,8591,21542,17291,17658,7484,0,0,766,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
1,2023-09-19_14:15:25.798260,0,0,6733,4135,4969,10421,17315,24113,10502,8155,0,0,780,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
2,2023-09-19_14:15:26.808635,32,42,916,0,767,0,2024,1219,0,0,0,0,698,76,0.07469039025215754,55.760887627284006,54.0243185982913,,0.5514865634898327,0.45839715942987613,0.3622551547781279,0.2873403105248356,0.2266782999508309,38.35647140763587,65.184180583034,0.3782678405640214,-99
3,2023-09-19_14:15:27.830867,21,32,0,0,0,0,0,0,0,0,0,0,642,61,0.050636658341904624,40.23490447099043,36.70214559436162,,0.411221784505902,0.3377052301183149,0.2655020915106055,0.20784641871392287,0.1617224227064176,0.0,39.36404448354439,0.030062779635650738,-99
4,2023-09-19_14:15:28.856118,59,70,127546,352067,65833,60069,30150,35224,25862,55237,0,0,842,115,0.13621935029735416,95.47603872526342,98.33408702139695,,0.9102810330570233,0.767124675147443,0.6097475350145706,0.49068407902281097,0.39283412103440346,159.51500839723883,131.23156684120784,1.26896934839386,-99
5,2023-09-19_14:15:29.874496,0,7,0,0,0,0,0,0,0,0,0,0,515,26,0.0,5.222298230706329,0.0,,0.09491102811079966,0.06553315864128517,0.04731449767994511,0.02857993977567902,0.015240584483568687,0.0,0.0,0.0,-99
6,2023-09-19_14:15:30.890245,75,88,207455,589708,106892,100361,47900,56682,43233,101582,0,0,933,140,0.1750465764993345,120.53788202952799,126.29531698948898,,1.13669464413824,0.9619440427872703,0.7659250914635694,0.6190021017950872,0.4976850667557148,235.9708743592309,172.9101000784339,1.8310375013018647,-99
7,2023-09-19_14:15:31.909499,27,38,0,0,0,0,0,0,0,0,0,0,674,69,0.06440148203586138,49.11969713514365,46.614813544804505,,0.49148874517501323,0.4067715660388962,0.32086933609022994,0.25333704817659164,0.1988936276359335,18.09627091357494,54.13969852714623,0.22932422026804938,-99
8,2023-09-19_14:15:32.928208,48,90,15545,41862,10601,20399,10185,15713,7210,7673,0,0,702,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
9,2023-09-19_14:15:33.951359,35,88,425216,708064,77739,12856,19144,8220,6531,9362,0,0,756,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
10,2023-09-19_14:15:34.970812,29,83,45364,101647,64149,10406,56007,9754,4979,7807,0,0,830,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
11,2023-09-19_14:15:35.990434,14,87,81918,1427844,42132,6853,10123,6026,9242,4544,0,0,804,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
12,2023-09-19_14:15:37.007652,10,93,46254,127681,108107,51875,18982,34960,64947,12392,0,0,716,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
13,2023-09-19_14:15:38.027143,30,97,41220,45014,33237,6055,29764,28296,18396,4830,0,0,684,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99
